Date,Open,High,Low,Close,Volume,Adj Close
2016-01-26,167.48,167.57,167.46,167.57,000,167.57
2016-01-25,167.43,167.47,167.36,167.43,100,167.43
2016-01-22,167.46,167.48,167.40,167.43,000,167.43
2016-01-21,166.99,167.39,166.99,167.37,000,167.37
2016-01-20,167.27,167.27,167.05,167.05,000,167.05
2016-01-19,167.05,167.11,167.03,167.11,000,167.11
2016-01-18,166.99,167.08,166.99,167.06,000,167.06
2016-01-15,166.99,167.09,166.99,167.09,000,167.09
2016-01-14,166.99,167.00,166.92,166.92,000,166.92
2016-01-13,166.86,167.03,166.86,166.96,000,166.96
2016-01-12,166.78,166.89,166.78,166.89,000,166.89
2016-01-11,167.00,167.03,166.95,166.95,000,166.95
2016-01-08,166.99,167.12,166.99,167.05,000,167.05
2016-01-07,167.26,167.26,166.99,166.99,000,166.99
2016-01-06,167.15,167.23,167.15,167.19,000,167.19
2016-01-05,166.98,167.09,166.98,167.09,000,167.09
2016-01-04,166.96,166.98,166.93,166.93,000,166.93
2015-12-30,166.69,166.72,166.65,166.72,000,166.72
2015-12-29,166.72,166.72,166.60,166.68,000,166.68
2015-12-28,166.56,166.76,166.56,166.76,000,166.76
2015-12-23,166.62,166.62,166.51,166.51,000,166.51
2015-12-22,166.75,166.75,166.63,166.66,000,166.66
2015-12-21,166.64,166.72,166.64,166.72,000,166.72
2015-12-18,166.69,166.80,166.69,166.74,000,166.74
2015-12-17,166.59,166.65,166.59,166.61,000,166.61
2015-12-16,166.52,166.54,166.41,166.41,000,166.41
2015-12-15,166.61,166.61,166.37,166.40,000,166.40
2015-12-14,166.78,166.82,166.62,166.69,000,166.69
2015-12-11,166.84,166.92,166.84,166.88,000,166.88
2015-12-10,166.81,166.88,166.81,166.82,000,166.82
2015-12-09,166.77,166.82,166.74,166.74,000,166.74
2015-12-08,166.76,166.86,166.73,166.78,000,166.78
2015-12-07,166.58,166.80,166.58,166.80,000,166.80
2015-12-04,166.52,166.52,166.31,166.50,000,166.50
2015-12-03,167.61,167.62,166.51,166.51,000,166.51
2015-12-02,167.48,167.61,167.48,167.61,000,167.61
2015-12-01,167.36,167.48,167.30,167.48,000,167.48
2015-11-30,167.45,167.45,167.38,167.38,000,167.38
2015-11-27,167.50,167.55,167.48,167.48,000,167.48
2015-11-26,167.48,167.48,167.46,167.48,000,167.48
2015-11-25,167.18,167.48,167.18,167.43,000,167.43
2015-11-24,167.17,167.17,167.14,167.16,000,167.16
